glong	glat	vcmb
322.09760	-68.51094	9449.00000
108.48749	-46.87843	12226.00000
111.56909	-36.41694	9900.00000
64.00789	-78.94852	7462.00000
87.46931	-72.84810	6444.00000
112.61479	-32.00866	6470.00000
105.99622	-53.54078	5650.00000
112.62265	-32.15378	12678.00000
88.96636	-72.18327	5631.00000
312.45650	-57.22484	9182.00000
354.71648	-79.30998	7426.00000
112.41922	-33.14328	7721.00000
103.29126	-58.64732	12411.00000
112.54135	-32.79125	7555.00000
313.64426	-59.32994	9640.00000
310.49615	-53.40870	3802.00000
108.28351	-48.22084	11116.00000
304.19361	-33.14653	11400.00000
330.30854	-73.53441	1228.00000
112.30896	-34.10147	7112.00000
321.10338	-68.10298	13536.00000
110.62400	-40.94513	13562.00000
112.46182	-33.56463	7719.00000
11.54057	-80.79777	7502.00000
113.45511	-29.03591	13741.00000
47.96269	-80.66721	9977.00000
101.23685	-62.27860	5884.00000
111.21983	-38.94771	7240.00000
112.05821	-35.64503	4181.00000
321.29158	-68.40407	7784.00000
111.75031	-37.02774	10419.00000
112.43704	-34.15996	7073.00000
101.84078	-61.66558	5100.00000
112.74598	-32.77439	7068.00000
107.98924	-49.68267	6020.00000
115.12141	-20.52166	4731.00000
30.28642	-81.28336	10155.00000
353.70272	-79.43902	7284.00000
53.06207	-80.43411	9902.00000
111.13891	-39.65108	7304.00000
112.62719	-33.43769	6840.00000
113.15041	-31.06644	4539.00000
358.17522	-79.98600	7197.00000
105.45827	-56.04450	8128.00000
102.84451	-60.67887	11599.00000
112.90582	-32.74581	10094.00000
111.22155	-39.96820	5614.00000
112.80383	-33.30540	7248.00000
111.28260	-39.89903	5644.00000
113.75318	-28.82265	4444.00000
88.12397	-73.47654	10002.00000
320.37477	-68.02203	9597.00000
98.24023	-66.53333	5074.00000
114.85978	-23.02281	4647.00000
113.29268	-31.23616	4480.00000
7.49962	-80.87014	9040.00000
98.11159	-66.72958	11600.00000
110.37649	-43.42858	12145.00000
310.29020	-53.69099	9283.00000
89.49292	-72.89710	5820.00000
318.71863	-66.60060	9786.00000
97.30809	-67.75925	8040.00000
318.66090	-66.58670	9519.00000
112.86085	-33.75765	7013.00000
110.19749	-44.44396	4668.00000
109.12295	-47.43061	1679.00000
98.99289	-66.18913	5033.00000
95.21574	-69.58464	6201.00000
113.32937	-31.97282	6816.00000
328.65214	-73.60079	11891.00000
116.46312	-14.24662	4965.00000
109.42854	-47.27410	9850.00000
112.70409	-35.15843	4357.00000
99.66142	-65.63182	10834.00000
105.13929	-57.85615	11487.00000
113.08222	-33.38970	6626.00000
344.69985	-78.49719	8614.00000
113.51778	-31.30251	4470.00000
116.49792	-14.24499	4972.00000
7.11106	-81.06003	7358.00000
